2025-10-01 15:15:02,715 - INFO - Loaded car configuration from file
2025-10-01 15:15:02,748 - INFO - iRacing SDK initialized
2025-10-01 15:34:26,270 - INFO - Upshift alert: 8242 RPM (target: 8200, gear: 3)
2025-10-01 15:34:31,448 - INFO - Upshift alert: 8242 RPM (target: 8200, gear: 3)
2025-10-01 15:34:38,737 - INFO - Upshift alert: 8368 RPM (target: 8200, gear: 2)
2025-10-01 15:34:45,341 - INFO - Upshift alert: 8250 RPM (target: 8200, gear: 2)
2025-10-01 15:34:47,528 - INFO - Upshift alert: 8247 RPM (target: 8200, gear: 3)
2025-10-01 15:34:51,217 - INFO - Upshift alert: 8513 RPM (target: 8500, gear: 4)
2025-10-01 15:34:52,737 - INFO - Upshift alert: 8576 RPM (target: 8200, gear: 0)
2025-10-01 15:35:00,600 - INFO - Upshift alert: 8221 RPM (target: 8200, gear: 3)
2025-10-01 15:35:05,346 - INFO - Upshift alert: 8239 RPM (target: 8200, gear: 3)
2025-10-01 15:35:09,270 - INFO - Upshift alert: 8536 RPM (target: 8500, gear: 4)
2025-10-01 15:35:16,295 - INFO - Upshift alert: 8704 RPM (target: 8700, gear: 5)
2025-10-01 15:35:20,807 - INFO - Upshift alert: 8220 RPM (target: 8200, gear: 3)
2025-10-01 15:35:34,840 - INFO - Upshift alert: 8354 RPM (target: 8200, gear: 2)
2025-10-01 15:35:37,259 - INFO - Upshift alert: 8214 RPM (target: 8200, gear: 3)
2025-10-01 15:35:41,292 - INFO - Upshift alert: 8536 RPM (target: 8500, gear: 4)
2025-10-01 15:35:46,160 - INFO - Upshift alert: 8256 RPM (target: 8200, gear: 0)
2025-10-01 15:35:54,284 - INFO - Upshift alert: 8234 RPM (target: 8200, gear: 2)
2025-10-01 15:35:56,393 - INFO - Upshift alert: 8244 RPM (target: 8200, gear: 3)
2025-10-01 15:36:21,067 - INFO - Upshift alert: 8201 RPM (target: 8200, gear: 3)
2025-10-01 15:36:30,263 - INFO - Upshift alert: 8249 RPM (target: 8200, gear: 3)
2025-10-01 15:36:38,543 - INFO - Upshift alert: 8328 RPM (target: 8200, gear: 2)
2025-10-01 15:36:41,071 - INFO - Upshift alert: 8308 RPM (target: 8200, gear: 2)
2025-10-01 15:36:41,442 - INFO - Upshift alert: 8496 RPM (target: 8200, gear: 2)
2025-10-01 15:36:45,801 - INFO - Upshift alert: 8374 RPM (target: 8200, gear: 2)
2025-10-01 15:36:47,740 - INFO - Upshift alert: 8217 RPM (target: 8200, gear: 3)
